epoch,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix_E73 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix_E73 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512___80ps_noCut-mixup - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512___80ps_noCut-mixup - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_Baseline_Ep80_2 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_Baseline_Ep80_2 - eval_top1
44,84.610001953125,56.4500017578125,56.9800016601563,84.17000390625,48.790001171875,77.7300030273438,81.9000025390625,54.6400021484375,52.0500021484375,79.8300041992188,83.9400037109375,55.2500016601563,26.6500010253906,58.8300032226563
45,83.6600029296875,57.5500024414063,57.7200021484375,82.690002734375,49.8600013671875,78.10000234375,83.0300036132813,56.1200018554688,52.8600024414063,81.370005078125,84.010002734375,56.3000015625,27.4300012695312,58.0900029785156
46,83.9100030273437,57.7500021484375,57.72000234375,83.2700025390625,50.0600017578125,78.4500033203125,83.6000041015625,56.0200013671875,53.2600015625,81.3800025390625,83.9600029296875,56.150001953125,27.990001171875,59.0800022460938
47,85.2700037109375,57.4500025390625,57.8400022460938,84.7300037109375,50.1600016601562,78.6100026367187,82.940003515625,56.3800022460938,54.1800024414063,81.3900037109375,84.62000390625,55.9800029296875,27.6400006835938,59.4300017578125
48,85.3800033203125,59.0000029296875,58.4300020507813,84.600002734375,50.5800009765625,78.63000390625,83.54000234375,56.6200025390625,54.0500025390625,81.39000390625,84.9000037109375,57.1300014648438,27.9600006835938,58.5700030273438
49,85.3500037109375,57.7200030273438,57.1500021484375,84.4500025390625,50.1200024414062,78.8600025390625,83.780003515625,55.6000022460938,53.430001953125,82.1500044921875,85.140004296875,56.4000010742187,28.4900013183594,59.7800041015625
50,84.660004296875,58.3600025390625,58.450002734375,84.060003125,50.630001953125,78.3100038085937,83.900003515625,56.6100020507813,54.4800022460938,82.3900033203125,85.15000390625,57.3500026367188,27.9500014160156,60.3700025390625
51,85.480003515625,58.7600026367188,58.8100024414062,83.950003515625,51.3800022460938,78.5700030273437,83.4400030273438,57.8300030273438,54.69000234375,81.760003515625,84.39000390625,57.5300017578125,29.8400011230469,58.7200016113281
52,85.0100029296875,58.1500026367188,58.1000032226562,84.380005859375,50.520002734375,78.6300021484375,83.7800041015625,57.2400025390625,54.2300009765625,82.010003125,84.4900046875,57.220003515625,29.0400012207031,58.3200012207031
53,85.760003515625,59.6800024414063,60.0900020507813,84.7400041015625,51.5500021484375,79.2500025390625,84.430005078125,58.0500018554688,54.9000017578125,82.190004296875,85.5700044921875,58.2200017578125,28.7800013671875,61.0600022949219
54,85.170003125,59.3000020507813,59.0900020507813,84.2800044921875,52.4100015625,78.2400036132812,84.350005078125,58.1000015625,55.470001953125,82.9200041992188,84.840003125,58.13000234375,30.0300011230469,60.3900032714844
55,86.3300041015625,60.3600025390625,60.49000234375,85.2000048828125,52.1400025390625,79.8300044921875,84.6300037109375,57.900002734375,55.6500018554688,83.3300025390625,85.830003125,59.0300032226562,30.5400012207031,60.580002734375
56,85.7900033203125,60.4500020507813,59.9700020507813,84.9000037109375,52.7700022460938,79.6600029296875,84.1200043945313,58.9700024414063,56.7900025390625,82.9600028320312,86.120003125,59.0100021484375,31.7200016601562,61.5800024414063
57,86.6000029296875,60.5100021484375,60.3100017578125,85.610003515625,52.6200022460938,79.4100024414063,84.5000036132813,59.4900024414063,56.5900014648438,82.550003515625,86.3500044921875,59.86000234375,30.6600002929687,60.4200032226562
58,85.9000060546875,61.0900024414063,60.760001953125,85.3500048828125,53.120001953125,80.0300037109375,84.930003515625,59.1800020507812,57.0600024414062,83.0600041015625,86.010004296875,60.0600030273438,31.5600011230469,61.8100017578125
59,86.65000390625,60.4700029296875,60.330003125,86.020003125,53.4000024414063,80.250002734375,84.7100044921875,58.7700014648438,56.010001953125,83.1700025390625,86.6900029296875,59.7800017578125,31.5100012695313,61.7600025878906
60,86.860004296875,60.3900028320312,60.8400022460938,86.290003125,53.3300016601562,80.7600044921875,85.38000234375,59.3100028320313,56.5500013671875,83.9300053710938,86.6600033203125,59.5400026367187,31.5800012207031,62.4000030273437
61,87.2300041015625,61.6400025390625,60.8600026367188,86.5900037109375,53.530001171875,80.6600037109375,85.7300033203125,59.66000234375,57.1600029296875,84.0400044921875,86.990004296875,60.1800022460938,31.4100013183594,62.36000234375
62,86.71000390625,61.6100020507813,61.3500020507813,86.390003515625,53.2900026367187,80.1300030273437,85.1700041015625,59.83000234375,56.9100018554687,82.8000041015625,86.6300046875,59.9800030273438,32.8500008789063,62.4800033691406
63,87.3600029296875,62.520001953125,61.6900025390625,86.8700044921875,54.200003125,80.620005859375,85.93000390625,60.0900022460938,57.8200017578125,84.2900029296875,87.3500037109375,61.2800008789062,33.1000004394531,64.0800026367188
64,86.7300045898437,62.3400025390625,61.7800028320313,86.4900041015625,54.1400022460938,81.0000033203125,86.0300056640625,60.3000028320312,57.8200021484375,84.5700052734375,86.9500044921875,61.3400024414062,33.5500012207031,63.0100026855469
65,87.0100033203125,62.190003125,62.6800024414063,86.350004296875,54.4300018554688,81.00000390625,85.8000029296875,60.2000024414062,57.4300026367188,84.7400044921875,87.53000625,61.81000234375,33.5000005859375,64.1100024414063
66,86.3100025390625,61.8500016601563,61.3200021484375,85.1600025390625,54.6200020507813,79.9300041015625,85.740004296875,60.4800037109375,57.7500021484375,83.8300037109375,86.65000234375,62.0200015625,34.0500017578125,63.6700036132813
67,87.51000234375,62.3600026367187,62.51000234375,86.4100044921875,54.770003125,81.4300041015625,86.480002734375,60.160002734375,57.3100020507813,84.900003125,87.5100025390625,61.730001953125,33.2700011230469,63.9400032226563
68,87.56000390625,62.5300021484375,62.17000234375,87.100005078125,54.620003125,81.8000028320312,86.350003125,61.2900025390625,58.6000017578125,84.810004296875,87.700005078125,61.8700026367188,34.3000010742187,64.6900018554688
69,87.65000390625,62.1800017578125,63.030001953125,87.1000025390625,55.0100020507813,81.3300033203125,86.6100029296875,60.7900028320313,58.7700030273438,84.8700041015625,87.800005078125,62.3100028320313,34.6400014648437,64.6299999023438
70,87.1900037109375,62.93000234375,62.5000021484375,86.550003515625,54.4300017578125,81.0800022460938,86.0100041015625,60.860002734375,58.6200021484375,84.430003125,87.250002734375,62.2800034179688,33.9500014648438,64.9500029296875
71,87.7900060546875,63.380001171875,62.7900017578125,86.860004296875,55.0000026367187,81.6600021484375,86.5200041015625,61.2300020507813,58.7900020507813,84.790004296875,87.9300029296875,62.3800030273438,35.000001171875,64.9500018554688
72,87.5000033203125,62.5600018554688,62.9900020507812,86.7400025390625,55.2200029296875,80.9300037109375,85.7100038085938,61.4600030273438,58.6200024414063,84.4800041015625,87.220004296875,62.8000024414063,34.5500023925781,65.3600009765625
73,88.0200046875,63.2600016601563,63.4800020507813,87.1700041015625,55.3800020507813,81.51000390625,86.3400041015625,61.4000026367188,58.820001953125,84.1000041015625,87.9900048828125,62.3800036132812,35.1800016601562,65.1600021484375
74,88.0000037109375,63.4700020507813,63.390002734375,86.8900037109375,55.8000025390625,82.090003515625,86.8300013671875,62.1100021484375,59.6200026367188,85.260003515625,88.2800044921875,63.0000030273438,35.2600015625,66.05000234375
75,87.2600041015625,63.35000234375,63.68000234375,86.57000546875,55.8900012695313,81.990002734375,86.3600044921875,62.1700020507813,60.1200029296875,84.510004296875,87.4700052734375,62.7100020507813,36.4200010742188,65.8700025390625
76,88.080003125,63.7400025390625,63.9900015625,87.6900048828125,55.6300017578125,82.3800033203125,86.4900046875,62.2300026367188,60.0600016601563,84.9100047851563,88.210003515625,63.2400026367188,36.0400010742187,66.4100045898438
77,87.7100044921875,64.980001953125,64.4200028320312,87.240003125,56.1000028320313,81.7500033203125,86.290003125,61.8900017578125,59.9600025390625,84.9400033203125,87.7100033203125,64.380002734375,36.1700014160156,66.2900020507813
78,88.3100044921875,64.0800013671875,63.4900033203125,87.9500046875,55.8000015625,82.660003515625,86.7700037109375,62.72000390625,59.8700028320313,85.3300044921875,88.8400029296875,63.2900020507813,36.8500014648437,66.7800032226563
79,88.18000546875,64.7100024414062,64.6600028320313,87.7600025390625,56.0400021484375,82.310004296875,87.2700046875,62.8100022460938,59.8500024414062,85.8100037109375,88.21000390625,63.7400022460938,36.3800015136719,66.9500018554688
80,,64.130003125,64.5800032226562,88.1800033203125,56.1000018554688,82.160001953125,87.1800052734375,62.4400024414063,60.66000234375,85.760005078125,88.580003515625,63.7500026367187,37.2700021484375,67.2600017578125
81,,64.6800012695312,64.2800015625,88.0400044921875,56.6800018554688,82.7500029296875,86.6900030273438,63.0200020507813,60.620001953125,85.43000390625,88.57000390625,63.9900021484375,37.1900015625,65.9100020507812
82,,64.3800037109375,64.0000022460937,87.4100029296875,56.1200026367188,82.63000234375,86.7100033203125,62.5000025390625,60.270001953125,85.230004296875,88.370003125,63.8600024414063,37.3200012207031,66.7700021484375
83,,64.19000234375,65.200001953125,88.0700033203125,56.78000234375,82.510003515625,87.1200041015625,62.180002734375,60.7800022460938,85.530003515625,88.470005078125,64.3100026367187,37.6500007324219,67.210001953125
84,,64.700003125,64.5900029296875,87.65000390625,56.420001953125,82.7300048828125,87.3300044921875,63.680003125,60.6500025390625,86.0000044921875,88.7000041015625,64.5700030273437,38.4200020019531,66.7300010742188
85,,65.3500021484375,64.610003515625,88.380003125,56.850001953125,82.790004296875,87.310003125,63.0500030273438,60.3800017578125,85.7400041015625,89.120003515625,64.260002734375,38.0500015625,67.4900018554687
86,,64.6900024414063,64.7600024414062,88.4100029296875,56.7600028320313,82.8900036132812,87.640003125,63.700003125,61.0600028320313,85.67000234375,88.7900033203125,64.6100029296875,38.4900009277344,67.1200022460937
87,,65.8800017578125,65.380003125,88.4000044921875,57.8900017578125,83.2500044921875,87.030003515625,64.3100020507813,61.6500025390625,85.4700046875,88.9200037109375,65.5800021484375,38.8800007324219,68.5400028320313
88,,66.0500025390625,65.8800028320313,88.0100041015625,57.8900017578125,83.1000044921875,87.1500040039063,63.680002734375,61.6700028320313,85.9100037109375,89.0000029296875,65.1700015625,38.6400014160156,68.4000032226563
89,,65.6300024414063,65.07000234375,88.5000046875,57.3800017578125,83.090004296875,87.680002734375,63.5000017578125,61.8500018554687,86.2500048828125,88.8800044921875,64.9300024414062,39.2200020019531,67.720001953125
90,,66.410001953125,65.8000034179688,88.680003515625,58.1800030273438,82.8200025390625,87.6900046875,64.5300024414063,61.530003515625,86.18000390625,88.7600033203125,65.8500025390625,39.6200020507813,68.4800038574219
91,,65.7700030273437,65.2700012695312,88.7000046875,57.4200025390625,83.450003125,87.9900037109375,63.740002734375,61.740002734375,86.4600037109375,89.170005078125,65.2900012695312,39.4000014648437,68.4200033203125
92,,65.6200018554687,64.970002734375,88.2600046875,57.8200015625,82.7400033203125,86.9300046875,64.3900022460938,61.9000021484375,85.200004296875,88.5200041015625,64.9200030273438,38.830001953125,68.2200020507812
93,,66.1000025390625,65.320002734375,88.5500044921875,57.5600020507813,83.6500041015625,87.98000390625,64.0700020507813,62.1300016601563,86.2500041015625,89.130004296875,65.660002734375,39.6400010253906,68.0800021484375
94,,65.870003125,66.1100024414063,88.840003125,58.6100020507813,83.7600044921875,88.2900029296875,64.7700017578125,62.2400028320313,86.8700041015625,89.6400037109375,66.1400021484375,40.0700015625,69.6100036132813
95,,66.04000234375,65.5600025390625,88.4200037109375,57.8900017578125,83.7600036132813,88.180003125,64.7400029296875,62.1600024414063,86.470001953125,89.1800033203125,65.9600017578125,39.9900020019531,69.840003515625
96,,66.5500025390625,65.5700016601563,88.9900037109375,58.4100021484375,83.8400045898437,88.1800041015625,64.8800033203125,62.8500025390625,86.36000234375,89.24000546875,65.7300021484375,39.9100014648438,70.4400024414062
97,,67.6900021484375,66.7600032226563,89.1400037109375,58.97000234375,84.2600037109375,88.6000029296875,65.2600028320313,62.7800022460938,87.1900037109375,89.830003125,66.4500033203125,40.66000234375,69.8100018554688
98,,66.7000021484375,66.2700020507812,88.5400044921875,58.2200020507812,83.6900034179688,88.420003515625,65.1700025390625,62.5300020507813,86.6000033203125,89.5900052734375,65.5200040039063,40.8200017089844,69.2100012695313
99,,,66.730003125,88.300003125,58.7200018554688,83.2700052734375,87.9500037109375,66.020003515625,62.920003515625,86.170004296875,89.4200033203125,66.4800024414063,40.2800017578125,69.8000036132813
100,,,66.7800017578125,88.9000037109375,58.8100024414062,83.75000546875,88.350003515625,65.7900032226563,62.940001953125,86.3600044921875,89.4700025390625,66.090002734375,41.3400015625,69.5600024414063
101,,,66.3300025390625,88.820003515625,59.0100022460937,83.900004296875,88.3600037109375,65.6700029296875,63.2400034179688,86.8900048828125,89.930002734375,65.9800037109375,41.8200021972656,69.2000020507813
102,,,66.6300034179688,88.630004296875,59.3500018554687,83.7500037109375,87.66000234375,65.6400034179688,63.3400030273438,86.25000390625,89.5500041015625,66.9100037109375,41.9100011230469,69.6200021484375
103,,,67.4700038085937,89.4700060546875,59.0400022460937,84.93000390625,88.9800037109375,66.2600012695313,63.3000033203125,87.100004296875,90.31000546875,66.7100032226563,41.0400009277344,70.4300025390625
